Sep lot,Address,Sep guide,Sep guide low,Oct lot,Oct guide,Oct guide low,Guide move %,Our accepted offer,Hometrack AVM,Serco status,Status,Match verification
92,"10 Eider Close, Hayes, Middlesex, UB4 9TD",£415000+,415000,33,"£395,000+",395000,-4.8,,£458000,Outside region,In October catalogue,postcode + number
153,"2102 Kew Eye Apartments, Ealing Road, Brentford, Middlesex, TW8 0GA",£410000+,410000,31,"£410,000+",410000,0.0,,£499000,Outside region,In October catalogue,postcode + number
79,"Sandly Court, 39 Queens Road, Southport, Merseyside, PR9 9EX",£320000+,320000,70,"£320,000+",320000,0.0,,N/A,CLOSED + NW paused,In October catalogue,postcode + number
95,"Flat 3 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",£275000+,275000,21,"£225,000+",225000,-18.2,,£370000,Outside region,In October catalogue,postcode + number
94,"Flat 11 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",£225000+,225000,20,"£180,000+",180000,-20.0,,£303000,Outside region,In October catalogue,postcode + number
42,"9 Victoria Road, Margate, Kent, CT9 1LN",£110000+,110000,45,"£90,000+",90000,-18.2,,£238000,Outside region,In October catalogue,postcode + number
38,"Flat 4, 280 Wimborne Road, Bournemouth, Dorset, BH3 7AT",£65000+,65000,48,"£45,000-£65,000",45000,-30.8,,N/A,Outside region,In October catalogue,postcode + number
112,"Flat 105, 2 Moorfields, Liverpool, Merseyside, L2 2BS",£20000-£40000,20000,74,"£20,000-£40,000",20000,0.0,40000,£90000,CLOSED + NW paused,In October catalogue,postcode + number
166,"Apartment 006 New Bank House, 100 Queen Street, Sheffield, South Yorkshire, S1 2FA",£15000-£35000,15000,52,"£5,000-£15,000",5000,-66.7,35000,£58000,Outside region,In October catalogue,postcode + number
160,"Parking Space 31 Lollard Street, Lambeth, London, SE11 6PX",£10000+,10000,75,"£5,000-£10,000",5000,-50.0,,N/A - parking,Outside region,In October catalogue,postcode + number
175,"Parking Space at 99 Mile End Road, Tower Hamlets, London, E1 4UH",£5000-£15000,5000,68,"£5,000-£15,000",5000,0.0,,N/A - parking,Outside region,In October catalogue,address exact match (verified)
127,"Garage at 1 The Chestnuts, Gwydor Road, Beckenham, Kent, BR3 4DU",£10000+,10000,77,"Sold prior for £8,000",8000,-20.0,,N/A - garage,Outside region,Sold prior to auction,address exact match (verified)
182,"Land to the Rear of 103 Church Street, Broadstairs, Kent, CT10 2TX",£10000+,10000,87,"Sold prior to auction, for an undisclosed amount",,,,N/A - land,Outside region,Sold prior to auction,address exact match (verified)
27,"Land Adjacent to The Gables, Banters Lane, Great Leighs, Chelmsford, Essex, CM3 1NT",£1150000+,1150000,,,,,,N/A - land,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
84,"52 Bushey Grove Road, Bushey, Hertfordshire, WD23 2JJ",£875000+,875000,,,,,,£875000,Not on Serco list,Not in October catalogue,postcode not in catalogue
97,"104 Graveney Road, Tooting, London, SW17 0EH",£775000+,775000,,,,,,£900000,Outside region,Not in October catalogue,postcode not in catalogue
99,"23 Selkirk Road, Tooting, London, SW17 0ER",£775000+,775000,,,,,,£965000,Outside region,Not in October catalogue,postcode not in catalogue
21A,"63 Warner Road, Camberwell, London, SE5 9NE",£725000+,725000,,,,,,£521000,Outside region,Not in October catalogue,postcode not in catalogue
50A,"9 Fallow Court Avenue, Finchley, London, N12 0EA",£695000+,695000,,,,,,£731000,Outside region,Not in October catalogue,postcode not in catalogue
98,"196A St. Ann's Hill, Wandsworth, London, SW18 2RT",£600000+,600000,,,,,,£815000,Outside region,Not in October catalogue,postcode not in catalogue
22A,"68 St. Margarets Avenue, Whetstone, London, N20 9LJ",£550000+,550000,,,,,,£775000,Outside region,Not in October catalogue,postcode not in catalogue
39,"Holmshill House, Summerswood Lane, Borehamwood, Hertfordshire, WD6 5PG",£525000+,525000,,,,,625000,£1250000,Not on Serco list,Not in October catalogue,postcode not in catalogue
66,"396 Forest Road, Walthamstow, London, E17 5JF",£500000+,500000,,,,,,£468000,Outside region,Not in October catalogue,postcode not in catalogue
87 (2),"Flat 91 Celeste House, 1 Caversham Road, Colindale, London, NW4 4DT",£500000+,500000,,,,,,£693000,Outside region,Not in October catalogue,postcode not in catalogue
15,"78 Park Chase, Wembley, Middlesex, HA9 8EH",£450000+,450000,,,,,,£463000,Outside region,Not in October catalogue,postcode not in catalogue
54,"Archie Court, 43 Marina, St Leonards-on-Sea, East Sussex, TN38 0BE",£450000+,450000,,,,,,N/A,Outside region,Not in October catalogue,postcode not in catalogue
25A,"15 Palestine Grove, Colliers Wood, London, SW19 2QN",£425000+,425000,,,,,,£581000,Outside region,Not in October catalogue,postcode not in catalogue
120,"Flat 23, 2 Manilla Street, Canary Wharf, London, E14 8GB",£350000+,350000,,,,,,£534000,Outside region,Not in October catalogue,postcode not in catalogue
56,"2 Holliday Street, Berkhamsted, Hertfordshire, HP4 2EE",£325000+,325000,,,,,,£491000,Not on Serco list,Not in October catalogue,postcode not in catalogue
21,"19 Jarvis Road, South Croydon, Surrey, CR2 6HW",£300000+,300000,,,,,,£313000,Outside region,Not in October catalogue,postcode not in catalogue
122,"73 Hampton Road, Teddington, Middlesex, TW11 0LA",£300000+,300000,,,,,,£533000,Outside region,Not in October catalogue,postcode not in catalogue
28A,"21 Wyncham Avenue, Sidcup, Kent, DA15 8EU",£295000+,295000,,,,,325000,£585000,Outside region,Not in October catalogue,postcode not in catalogue
29,"174B Bravington Road, Maida Vale, London, W9 3AP",£295000+,295000,,,,,,£572000,Outside region,Not in October catalogue,postcode not in catalogue
71,"17-19 Umberston Street, Tower Hamlets, London, E1 1PY",£275000+,275000,,,,,,N/A - commercial,Outside region,Not in October catalogue,postcode not in catalogue
40,"Land Adjacent to Esso, Hogg Lane, Grays, Essex, RM17 5JA",£235000+,235000,,,,,,N/A - land,Not on Serco list,Not in October catalogue,postcode not in catalogue
123,"98 Victoria Road North, Southsea, Hampshire, PO5 1QE",£220000+,220000,,,,,,£269000,Outside region,Not in October catalogue,postcode not in catalogue
9,"9 St Anns Court, 45 Sunningfields Road, Hendon, London, NW4 4QY",£200000+,200000,,,,,,£250000,Outside region,Not in October catalogue,postcode not in catalogue
46,"Ground Floor and Basement Flat, 134 Gipsy Hill, Crystal Palace, London, SE19 1PW",£200000+,200000,,,,,220000,£368000,Outside region,Not in October catalogue,postcode not in catalogue
67,"Foelas Residential Home, Station Road, Llanrug, Caernarfon, Gwynedd, LL55 4BE",£200000+,200000,,,,,,N/A,Outside region,Not in October catalogue,postcode not in catalogue
68,"Unit 6-6B South Middleton Base, Greenwell Road, Aberdeen, AB12 3AX",£200000+,200000,,,,,,N/A - commercial,Outside region,Not in October catalogue,postcode not in catalogue
83,"Flat 17 Forest Croft, Taymount Rise, Forest Hill, London, SE23 3UN",£200000+,200000,,,,,,£256000,Outside region,Not in October catalogue,postcode not in catalogue
106,"29 The Crescent, Eastbourne, East Sussex, BN20 8PX",£200000+,200000,,,,,,£203000,Outside region,Not in October catalogue,postcode not in catalogue
108,"21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ",£200000+,200000,,,,,250000,£366000,Not on Serco list,Not in October catalogue,postcode not in catalogue
120A,"21 Preston Lane, Lyneham, Chippenham, Wiltshire, SN15 4AR",£200000+,200000,,,,,,£252000,Outside region,Not in October catalogue,postcode not in catalogue
121,"103 Buckingham Road, Edgware, Middlesex, HA8 6NN",£185000+,185000,,,,,,£190000,Outside region,Not in October catalogue,postcode not in catalogue
104,"Flat 41 Latchingdon Court, 26 Forest Road, Walthamstow, London, E17 6JT",£180000+,180000,,,,,200000,£333000,Outside region,Not in October catalogue,postcode not in catalogue
64,"13 Hope Street, Crook, County Durham, DL15 9HS",£175000+,175000,,,,,,£95000,Outside region,Not in October catalogue,postcode not in catalogue
158,"Flat 43 Ferrydale Lodge, 48 Church Road, Hendon, London, NW4 4EW",£170000+,170000,,,,,,£224000,Outside region,Not in October catalogue,postcode not in catalogue
87,"325A London Road, Westcliff-on-Sea, Essex, SS0 7BX",£160000+,160000,,,,,,£161000,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
103,"71 Fakes Road, Hemsby, Great Yarmouth, Norfolk, NR29 4JL",£160000+,160000,,,,,,£241000,OPEN,Not in October catalogue,postcode not in catalogue
85,"Flat 4 Maple Court, 1 Lower Coombe Street, Croydon, Surrey, CR0 1AA",£150000+,150000,,,,,,£248000,Outside region,Not in October catalogue,postcode not in catalogue
117,"Flat 3, 9 Queensland Road, Highbury, London, N7 7FH",£145000+,145000,,,,,,£297000,Outside region,Not in October catalogue,postcode not in catalogue
65,"102-104 High Street, Redcar, Cleveland, TS10 3DL",£140000+,140000,,,,,,£82000,Outside region,Not in October catalogue,postcode not in catalogue
