Site ref,Address,Guide price,Hometrack valuation,Notes
366196,"72 Ibsley Gardens, Wandsworth, London, SW15 4JW",290000,,
366194,"24 Timsbury Walk, Wandsworth, London, SW15 4LN",290000,,
366232,"80 Flintmill Crescent, Blackheath, London, SE3 8LY",140000,,
366011,"Apartment 404 Weymouth Building, 2 Deacon Street, Elephant & Castle, London, SE17 1GB",410000,,
365999,"62 Crowther Road, South Norwood, London, SE25 5QP",160000,,
365305,"18 Toronto Avenue, Manor Park, London, E12 5JF",300000,,
314294,"51 Hendon Way, Cricklewood, London, NW2 2LX",625000,,
339220,"177 Morley Avenue, Wood Green, London, N22 6NT",385000,,
321197,"115 Stoke Newington Road, Stoke Newington, London, N16 8BX",250000,,
364433,"Flat 6, 317 Barking Road, Plaistow, London, E13 8EE",100000,,
364620,"68 Charteris Road, Kilburn, London, NW6 7EX",280000,,
364775,"24 Macquarie Way, Isle of Dogs, London, E14 3AU",700000,,
365356,"23 Hale End Road, Walthamstow, London, E17 4BG",370000,,
365548,"38 Gunnersbury Avenue, Acton, London, W5 4HA",1200000,,
365909,"Flat 14 Lewcos House, 57-63 Regency Street, Westminster, London, SW1P 4AF",350000,,
365768,"Flat 54, 105 Hallam Street, Marylebone, London, W1W 5HE",200000,,
364550,"Flat 15 Cobden Court, Byron Close, Greenwich, London, SE28 8AG",150000,,
366016,"Flat 2, 69 Johnson Street, Shadwell, London, E1 0AQ",275000,,
359754,"316B Lordship Lane, East Dulwich, London, SE22 8LY",390000,,
364231,"5 Guild House, 393 Rotherhithe New Road, Bermondsey, London, SE16 3FN",310000,,
365844,"Flat 92 Sleaford House, Fern Street, Bow, London, E3 3PZ",140000,,
365843,"Flat 94 Sleaford House, Fern Street, Bow, London, E3 3PZ",140000,,
365852,"Flat 2, 3 Cottage Road, Highbury, London, N7 8TP",395000,,
365132,"4 Swansea Court, Beckton, London, E16 2RT",150000,,
365866,"Flat D, 49 High Street, Penge, London, SE20 7HW",85000,,
365993,"Flat 40 Weston Court, 4 Brindley Place, Uxbridge, Middlesex, UB8 2UF",280000,,
359907,"51 Belswains Lane, Hemel Hempstead, Hertfordshire, HP3 9PW",415000,,
362628,"28 Norfolk Road, Thornton Heath, Croydon, CR7 8ND",40000,,
365155,"Flat 11 Hartsbourne Park, 180 High Road, Bushey Heath, Bushey, Hertfordshire, WD23 1SD",550000,,
365835,"Rear Bungalow, 2 Meadow Close, Enfield, Middlesex, EN3 5PE",40000,,
358989,"Flat 304 Platinum House, Lyon Road, Harrow, Middlesex, HA1 2EX",160000,,
358987,"Flat 12 Arliss Court, 24 Clarendon Road, Watford, Hertfordshire, WD17 1JY",180000,,
366268,"35 Reid Close, Hayes, Middlesex, UB3 2DD",165000,,
358988,"Flat 27 Hemingford Court, Gartlet Road, Watford, Hertfordshire, WD17 2AQ",175000,,
365074,"165A Darkes Lane, Potters Bar, Hertfordshire, EN6 1BW",350000,,
365635,"41 Oakhall Court, Oakhall Drive, Sunbury-on-Thames, Middlesex, TW16 7LE",140000,,
366170,"Flat 13 Lexington House, 35 Park Lodge Avenue, West Drayton, Hillingdon, UB7 9FJ",150000,,
365102,"Flat 8 Keats House, Porchester Mead, Beckenham, Kent, BR3 1TD",155000,,
365357,"172 Havering Road, Romford, Essex, RM1 4TD",270000,,
365358,"6A St. Edwards Way, Romford, Essex, RM1 4DD",110000,,
364454,"Flat 41 Ashcroft Place, Epsom Road, Leatherhead, Surrey, KT22 8RJ",130000,,
365434,"Flat 2 Burniston Court, 90 Manor Road, Wallington, Surrey, SM6 0AD",65000,,
365779,"Flat 8, 390 London Road, Croydon, Surrey, CR0 2SW",105000,,
365440,"11A Windmill Road, Croydon, Surrey, CR0 2XR",140000,,
364804,"Flat 53 Longitude Apartments, 7 Addiscombe Grove, Croydon, Surrey, CR0 5BS",110000,,
365448,"2-4 Market Street, Hyde, Cheshire, SK14 1AY",90000,,
364772,"42 Crumpsall Lane, Manchester, Lancashire, M8 5FB",320000,,
365484,"Flat 4, 280 Wimborne Road, Bournemouth, Dorset, BH3 7AT",45000,,
363694,"69 Fenton Road, Bournemouth, Dorset, BH6 5BU",290000,,
365837,"709 Wimborne Road, Bournemouth, Dorset, BH9 2AU",350000,,
363365,"37 Kent Road, Blackpool, Lancashire, FY1 5HH",25000,,
364154,"Apartment 005 St Peters House, Princes Street, Doncaster, South Yorkshire, DN1 3BP",32000,,
364160,"Apartment 402 St Peters House, Princes Street, Doncaster, South Yorkshire, DN1 3BP",32000,,
364222,"111 Benefield Road, Oundle, Peterborough, Cambridgeshire, PE8 4EU",145000,,
364288,"Catswell Cottage & Adderstone Mains Lodge, Belford, Northumberland, NE70 7HS",250000,,
364662,"Apartment 71 Dorchester Court, 283 London Road, Camberley, Surrey, GU15 3JJ",180000,,
364631,"21 Addison Road, Fleetwood, Lancashire, FY7 6UH",30000,,
364703,"Flat 407 The Printworks, Hodgson Street, Sheffield, South Yorkshire, S3 7WQ",20000,,
364707,"Flat 408 The Printworks, Hodgson Street, Sheffield, South Yorkshire, S3 7WQ",20000,,
366230,"The Glynne, Cornist Road, Flint, Clwyd, CH6 5HG",140000,,
365328,"70 Dutton Lane, Eastleigh, Hampshire, SO50 6AB",230000,,
365331,"53 Desborough Road, Eastleigh, Hampshire, SO50 5NY",250000,,
365431,"33 Park View, Sturry, Canterbury, Kent, CT2 0NR",150000,,
365539,"Flat 428, 2 Moorfields, Liverpool, Merseyside, L2 2BT",20000,,
365869,"Flat 29 Metro Apartments, 101 Goldsworth Road, Woking, Surrey, GU21 6LF",120000,,
