lot,address,guide_price,hometrack,serco_status,accepted_offer,status,confidence,site_lot,site_guide,site_entry
15,"78 Park Chase, Wembley, Middlesex, HA9 8EH",£450000+,£463000,Outside region,,NOT LISTED,postcode absent from dumps,,,
9,"9 St Anns Court, 45 Sunningfields Road, Hendon, London, NW4 4QY",£200000+,£250000,Outside region,,NOT LISTED,postcode absent from dumps,,,
21,"19 Jarvis Road, South Croydon, Surrey, CR2 6HW",£300000+,£313000,Outside region,,still-available,postcode + number,358962,Please refer to auctioneer for more information,"358962 | 19 Jarvis Road, South Croydon, Surrey, CR2 6HW | Please refer to auctioneer for more information"
21A,"63 Warner Road, Camberwell, London, SE5 9NE",£725000+,£521000,Outside region,,NOT LISTED,postcode absent from dumps,,,
22,"4 Nairn Court, Dock Road, Tilbury, Essex, RM18 7BY",£60000+,£149000,Not on Serco list,£75000,NOT LISTED,postcode absent from dumps,,,
22A,"68 St. Margarets Avenue, Whetstone, London, N20 9LJ",£550000+,£775000,Outside region,,NOT LISTED,postcode absent from dumps,,,
25A,"15 Palestine Grove, Colliers Wood, London, SW19 2QN",£425000+,£581000,Outside region,,october-catalogue,postcode + number,364669,"£450,000+","364669 | 15 Palestine Grove, Colliers Wood, London, SW19 2QN | £450,000+"
27,"Land Adjacent to The Gables, Banters Lane, Great Leighs, Chelmsford, Essex, CM3 1NT",£1150000+,N/A - land,Serco region - VERIFY,,still-available,postcode only,359983,Please refer to auctioneer for more information,"359983 | Land Adjacent to The Gables, Banters Lane, Great Leighs, Chelmsford, Essex, CM3 1NT | Please refer to auctioneer for more information"
28A,"21 Wyncham Avenue, Sidcup, Kent, DA15 8EU",£295000+,£585000,Outside region,£325000,NOT LISTED,postcode absent from dumps,,,
29,"174B Bravington Road, Maida Vale, London, W9 3AP",£295000+,£572000,Outside region,NO OFFERS,NOT LISTED,postcode absent from dumps,,,
37,"37 and 37A Trevenson Street, Camborne, Cornwall, TR14 8JD",£100000+,£122000,Outside region,,NOT LISTED,postcode absent from dumps,,,
38,"Flat 4, 280 Wimborne Road, Bournemouth, Dorset, BH3 7AT",£65000+,N/A,Outside region,,october-catalogue,postcode + number,365484,"£45,000-£65,000","365484 | Flat 4, 280 Wimborne Road, Bournemouth, Dorset, BH3 7AT | £45,000-£65,000"
39,"Holmshill House, Summerswood Lane, Borehamwood, Hertfordshire, WD6 5PG",£525000+,£1250000,Not on Serco list,£625000,NOT LISTED,postcode absent from dumps,,,
40,"Land Adjacent to Esso, Hogg Lane, Grays, Essex, RM17 5JA",£235000+,N/A - land,Not on Serco list,,NOT LISTED,postcode absent from dumps,,,
42,"9 Victoria Road, Margate, Kent, CT9 1LN",£110000+,£238000,Outside region,NO OFFERS,october-catalogue,postcode + number,364735,"£90,000+","364735 | 9 Victoria Road, Margate, Kent, CT9 1LN | £90,000+"
46,"Ground Floor and Basement Flat, 134 Gipsy Hill, Crystal Palace, London, SE19 1PW",£200000+,£368000,Outside region,£220000,still-available,postcode + number,358830,Please refer to auctioneer for more information,"358830 | Ground Floor and Basement Flat, 134 Gipsy Hill, Crystal Palace, London, SE19 1PW | Please refer to auctioneer for more information"
48,"30 Ancton Way, Bognor Regis, West Sussex, PO22 6JW",£130000+,£186000,Outside region,,NOT LISTED,postcode absent from dumps,,,
50A,"9 Fallow Court Avenue, Finchley, London, N12 0EA",£695000+,£731000,Outside region,,still-available,postcode + number,362182,Please refer to auctioneer for more information,"362182 | 9 Fallow Court Avenue, Finchley, London, N12 0EA | Please refer to auctioneer for more information"
54,"Archie Court, 43 Marina, St Leonards-on-Sea, East Sussex, TN38 0BE",£450000+,N/A,Outside region,,NOT LISTED,postcode absent from dumps,,,
56,"2 Holliday Street, Berkhamsted, Hertfordshire, HP4 2EE",£325000+,£491000,Not on Serco list,,still-available,postcode + number,361096,Please refer to auctioneer for more information,"361096 | 2 Holliday Street, Berkhamsted, Hertfordshire, HP4 2EE | Please refer to auctioneer for more information"
59,"Land on the North-East side of Looe Gardens, Ilford, Essex, IG6 2BJ",£135000+,N/A - land,Outside region,,NOT LISTED,postcode absent from dumps,,,
61,"Unit SU8, 5 Jubilee Way, Scunthorpe, North Lincolnshire, DN15 6RB",£95000+,N/A - retail,Not on Serco list,,still-available,postcode + number,358590,Please refer to auctioneer for more information,"358590 | Unit SU8, 5 Jubilee Way, Scunthorpe, North Lincolnshire, DN15 6RB | Please refer to auctioneer for more information"
62,"9 College Walk, Rotherham, South Yorkshire, S60 1QB",£95000+,N/A - retail,Outside region,,NOT LISTED,postcode absent from dumps,,,
63,"29 Hervey Street, Lowestoft, Suffolk, NR32 2JG",£75000+,£153000,OPEN,£75000,still-available,postcode + number,361511,Please refer to auctioneer for more information,"361511 | 29 Hervey Street, Lowestoft, Suffolk, NR32 2JG | Please refer to auctioneer for more information"
64,"13 Hope Street, Crook, County Durham, DL15 9HS",£175000+,£95000,Outside region,,october-catalogue,postcode + number,367102,"£150,000-£190,000","367102 | 13 Hope Street, Crook, County Durham, DL15 9HS | £150,000-£190,000"
65,"102-104 High Street, Redcar, Cleveland, TS10 3DL",£140000+,£82000,Outside region,,october-catalogue,postcode + number,367100,"£100,000-£150,000","367100 | 102-104 High Street, Redcar, Cleveland, TS10 3DL | £100,000-£150,000"
66,"396 Forest Road, Walthamstow, London, E17 5JF",£500000+,£468000,Outside region,,still-available,postcode + number,361976,Please refer to auctioneer for more information,"361976 | 396 Forest Road, Walthamstow, London, E17 5JF | Please refer to auctioneer for more information"
67,"Foelas Residential Home, Station Road, Llanrug, Caernarfon, Gwynedd, LL55 4BE",£200000+,N/A,Outside region,,still-available,postcode only,360987,Please refer to auctioneer for more information,"360987 | Foelas Residential Home, Station Road, Llanrug, Caernarfon, Gwynedd, LL55 4BE | Please refer to auctioneer for more information"
68,"Unit 6-6B South Middleton Base, Greenwell Road, Aberdeen, AB12 3AX",£200000+,N/A - commercial,Outside region,,NOT LISTED,different unit at AB123AX (6 not offered),,,
69,"9A Battle Hill, Hexham, Northumberland, NE46 1BA",£50000-£75000,N/A,Outside region,,NOT LISTED,postcode absent from dumps,,,
70A,"94A Middleton Grange Shopping Centre, Hartlepool, Cleveland, TS24 7RW",£95000+,N/A - retail,Outside region,,still-available,postcode + number,360550,Please refer to auctioneer for more information,"360550 | 94A Middleton Grange Shopping Centre, Hartlepool, Cleveland, TS24 7RW | Please refer to auctioneer for more information"
71,"17-19 Umberston Street, Tower Hamlets, London, E1 1PY",£275000+,N/A - commercial,Outside region,,still-available,postcode + number,359974,Please refer to auctioneer for more information,"359974 | 17-19 Umberston Street, Tower Hamlets, London, E1 1PY | Please refer to auctioneer for more information"
72,"Rear of 292 Weelsby Street, Grimsby, North East Lincolnshire, DN32 8AB",£25000-£35000,N/A - workshop,Not on Serco list,,still-available,postcode only,355241,Please refer to auctioneer for more information,"355241 | Rear of 292 Weelsby Street, Grimsby, North East Lincolnshire, DN32 8AB | Please refer to auctioneer for more information"
73,"106 High Street, Redcar, Cleveland, TS10 3DL",£50000-£80000,£82000,Outside region,,october-catalogue,postcode + number,367101,"£50,000-£70,000","367101 | 106 High Street, Redcar, Cleveland, TS10 3DL | £50,000-£70,000"
75A,"Unit 1 Masonic Hall, 64 Briggate, Brighouse, Calderdale, HD6 1EF",£9000+,N/A - commercial,Outside region,,NOT LISTED,postcode absent from dumps,,,
76,"108 High Street, Redcar, Cleveland, TS10 3DL",£25000-£50000,£82000,Outside region,£50000,NOT LISTED,different unit at TS103DL (108 not offered),,,
79,"Sandly Court, 39 Queens Road, Southport, Merseyside, PR9 9EX",£320000+,N/A,CLOSED + NW paused,,october-catalogue,postcode + number,365585,"£320,000+","365585 | Sandly Court, 39 Queens Road, Southport, Merseyside, PR9 9EX | £320,000+"
80,"Unit 3, 6A Alma Street, Taunton, Somerset, TA1 3AH",£5000+,N/A - commercial,Outside region,,still-available,postcode + number,361603,Please refer to auctioneer for more information,"361603 | Unit 3, 6A Alma Street, Taunton, Somerset, TA1 3AH | Please refer to auctioneer for more information"
81,"1 Hunter House, Hunter Road, Guildford, Surrey, GU1 3LQ",£140000+,£337000,Outside region,£160000,NOT LISTED,postcode absent from dumps,,,
82,"Apartment 43, 18 Church Street, Manchester, Lancashire, M4 1PN",£90000+,£193000,CLOSED + NW paused,£120000,NOT LISTED,postcode absent from dumps,,,
83,"Flat 17 Forest Croft, Taymount Rise, Forest Hill, London, SE23 3UN",£200000+,£256000,Outside region,,still-available,postcode + number,360076,Please refer to auctioneer for more information,"360076 | Flat 17 Forest Croft, Taymount Rise, Forest Hill, London, SE23 3UN | Please refer to auctioneer for more information"
84,"52 Bushey Grove Road, Bushey, Hertfordshire, WD23 2JJ",£875000+,£875000,Not on Serco list,,still-available,postcode + number,357630,Please refer to auctioneer for more information,"357630 | 52 Bushey Grove Road, Bushey, Hertfordshire, WD23 2JJ | Please refer to auctioneer for more information"
85,"Flat 4 Maple Court, 1 Lower Coombe Street, Croydon, Surrey, CR0 1AA",£150000+,£248000,Outside region,,NOT LISTED,postcode absent from dumps,,,
86,"65 Reeves Road, Derby, Derbyshire, DE23 8JF",£45000+,£87500,Serco region - VERIFY,£85000,NOT LISTED,postcode absent from dumps,,,
87,"325A London Road, Westcliff-on-Sea, Essex, SS0 7BX",£160000+,£161000,Serco region - VERIFY,,NOT LISTED,postcode absent from dumps,,,
87 (2),"Flat 91 Celeste House, 1 Caversham Road, Colindale, London, NW4 4DT",£500000+,£693000,Outside region,,NOT LISTED,postcode absent from dumps,,,
90,"The Vaults, Manor Road, Chatham, Kent, ME4 6HW",£50000-£110000,£379000,Outside region,£175000,NOT LISTED,postcode absent from dumps,,,
92,"10 Eider Close, Hayes, Middlesex, UB4 9TD",£415000+,£458000,Outside region,,october-catalogue,postcode + number,365497,"£395,000+","365497 | 10 Eider Close, Hayes, Middlesex, UB4 9TD | £395,000+"
94,"Flat 11 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",£225000+,£303000,Outside region,,october-catalogue,postcode + number,366068,"£180,000+","366068 | Flat 11 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ | £180,000+"
95,"Flat 3 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",£275000+,£370000,Outside region,,october-catalogue,postcode + number,366070,"£225,000+","366070 | Flat 3 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ | £225,000+"
