Address,Guide price,Hometrack valuation,Guide +20%,Status
"10 Eider Close, Hayes, Middlesex, UB4 9TD",395000,458000,474000,In October catalogue
"2102 Kew Eye Apartments, Ealing Road, Brentford, Middlesex, TW8 0GA",410000,499000,492000,In October catalogue
"Sandly Court, 39 Queens Road, Southport, Merseyside, PR9 9EX",320000,N/A,384000,In October catalogue
"Flat 3 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",225000,370000,270000,In October catalogue
"Flat 11 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",180000,303000,216000,In October catalogue
"9 Victoria Road, Margate, Kent, CT9 1LN",90000,238000,108000,In October catalogue
"Flat 4, 280 Wimborne Road, Bournemouth, Dorset, BH3 7AT",45000,N/A,54000,In October catalogue
"Flat 105, 2 Moorfields, Liverpool, Merseyside, L2 2BS",20000,90000,24000,In October catalogue
"Apartment 006 New Bank House, 100 Queen Street, Sheffield, South Yorkshire, S1 2FA",5000,58000,6000,In October catalogue
"Parking Space 31 Lollard Street, Lambeth, London, SE11 6PX",5000,N/A - parking,6000,In October catalogue
"Parking Space at 99 Mile End Road, Tower Hamlets, London, E1 4UH",5000,N/A - parking,6000,In October catalogue
"Garage at 1 The Chestnuts, Gwydor Road, Beckenham, Kent, BR3 4DU",8000,N/A - garage,9600,Sold prior to auction
"Land to the Rear of 103 Church Street, Broadstairs, Kent, CT10 2TX",10000,N/A - land,12000,Sold prior to auction
"Land Adjacent to The Gables, Banters Lane, Great Leighs, Chelmsford, Essex, CM3 1NT",1150000,N/A - land,1380000,Not in October catalogue
"52 Bushey Grove Road, Bushey, Hertfordshire, WD23 2JJ",875000,875000,1050000,Not in October catalogue
"104 Graveney Road, Tooting, London, SW17 0EH",775000,900000,930000,Not in October catalogue
"23 Selkirk Road, Tooting, London, SW17 0ER",775000,965000,930000,Not in October catalogue
"63 Warner Road, Camberwell, London, SE5 9NE",725000,521000,870000,Not in October catalogue
"9 Fallow Court Avenue, Finchley, London, N12 0EA",695000,731000,834000,Not in October catalogue
"196A St. Ann's Hill, Wandsworth, London, SW18 2RT",600000,815000,720000,Not in October catalogue
"68 St. Margarets Avenue, Whetstone, London, N20 9LJ",550000,775000,660000,Not in October catalogue
"Holmshill House, Summerswood Lane, Borehamwood, Hertfordshire, WD6 5PG",525000,1250000,630000,Not in October catalogue
"396 Forest Road, Walthamstow, London, E17 5JF",500000,468000,600000,Not in October catalogue
"Flat 91 Celeste House, 1 Caversham Road, Colindale, London, NW4 4DT",500000,693000,600000,Not in October catalogue
"78 Park Chase, Wembley, Middlesex, HA9 8EH",450000,463000,540000,Not in October catalogue
